Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.8888889	0.5665577	2.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	800	-0.17161912	0.03861956	-0.01572749	-0.27185515	-0.16921991	0.03804505	-0.010920651	-0.3071568	0.39273193	1.366714	5.28077	-6.3825574	0.15920894	0.015731089	63.26140832901001
2	1.0	0.94280905	2.0	0.0	1.0	0.0	1.0	1.0	80.0	80.0	1600	0.0077507454	0.07420514	0.2147997	-0.15207696	0.007344541	0.07358478	0.20296638	-0.15464702	3.393496	2.60877	10.161885	-7.561976	-0.05190245	0.02217234	129.0391263961792
3	0.5555556	0.496904	1.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	2400	0.228678	0.0735105	0.45142594	0.060144223	0.22838934	0.07325292	0.441182	0.06802106	4.9492173	3.105811	11.759523	-6.701882	-0.27688575	0.020987155	196.53431510925293
4	1.3333334	0.8164966	2.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	3200	0.44844073	0.07484007	0.6934904	0.27343205	0.4481084	0.07456624	0.6855996	0.27759382	5.7559037	3.4262748	13.402109	-7.7634883	-0.500285	0.02079003	269.50496459007263
5	0.7777778	0.6285393	2.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	4000	0.6887095	0.08330137	0.9477819	0.49375302	0.68847257	0.08302561	0.94592214	0.49607506	6.905201	3.8882287	15.827896	-6.86797	-0.74861795	0.020865217	340.64518904685974
6	0.7777778	0.7856742	2.0	0.0	6.0	0.0	6.0	6.0	80.0	80.0	4800	0.9417194	0.08282671	1.1927378	0.73884684	0.941524	0.08250223	1.1890271	0.7362837	7.9010344	4.21729	17.062283	-6.818614	-1.0048742	0.019665895	410.9360468387604
7	0.5555556	0.68493485	2.0	0.0	4.0	0.0	4.0	4.0	80.0	80.0	5600	1.1871942	0.08042114	1.4331299	0.98234814	1.1870078	0.079939686	1.4369954	0.98830503	8.5084	4.383008	17.932123	-6.277589	-1.2504244	0.018487537	486.9529519081116
8	0.8888889	1.1967033	3.0	0.0	7.0	0.0	7.0	7.0	80.0	80.0	6400	1.4256608	0.08353056	1.7041458	1.2212545	1.4254925	0.08290685	1.6952369	1.2267936	8.961376	4.5407643	18.47721	-5.5193624	-1.4914923	0.018558608	560.7487146854401
9	1.0	1.2472191	3.0	0.0	10.0	0.0	10.0	10.0	80.0	80.0	7200	1.6793761	0.09640873	1.9799513	1.412731	1.6792482	0.09599703	1.992874	1.4216088	9.232661	4.613828	18.895094	-6.5255127	-1.7531563	0.019455515	631.3492274284363
10	0.8888889	0.99380803	3.0	0.0	9.0	0.0	9.0	9.0	80.0	80.0	8000	1.953159	0.10504902	2.2792287	1.6555545	1.9530362	0.104635455	2.278771	1.6630372	9.566209	4.680455	19.281929	-3.195271	-2.033633	0.020362854	711.8137440681458
